,SKU_NAME,FEED_Month,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS,Price of single unit(Rounded off),
56,B1212:PZ:V,June ,2019-06-14,1000 Inputs,1006 Gamepads and Controllers,1429.14,43,12.05,33,
57,B1212:PZ:V,June ,2019-06-15,1000 Inputs,1006 Gamepads and Controllers,1095.18,33,15.05,33,
58,B1212:PZ:V,June ,2019-06-16,1000 Inputs,1006 Gamepads and Controllers,1428.99,43,17.33,33,
59,B1212:PZ:V,June ,2019-06-17,1000 Inputs,1006 Gamepads and Controllers,1696.24,51,15.61,33,
60,B1212:PZ:V,June ,2019-06-18,1000 Inputs,1006 Gamepads and Controllers,1530.1,46,12.71,33,
61,B1212:PZ:V,June ,2019-06-19,1000 Inputs,1006 Gamepads and Controllers,1365.39,41,15.64,33,
62,B1212:PZ:V,June ,2019-06-20,1000 Inputs,1006 Gamepads and Controllers,1230.62,37,10.58,33,
63,B1212:PZ:V,June ,2019-06-21,1000 Inputs,1006 Gamepads and Controllers,1064.32,32,12.42,33,
64,B1212:PZ:V,June ,2019-06-22,1000 Inputs,1006 Gamepads and Controllers,1097.58,33,20.3,33,
65,B1212:PZ:V,June ,2019-06-23,1000 Inputs,1006 Gamepads and Controllers,1031.06,31,14.08,33,
66,B1212:PZ:V,June ,2019-06-24,1000 Inputs,1006 Gamepads and Controllers,900.29,27,10,33,
67,B1212:PZ:V,June ,2019-06-25,1000 Inputs,1006 Gamepads and Controllers,1097.51,33,15.4,33,
68,B1212:PZ:V,June ,2019-06-26,1000 Inputs,1006 Gamepads and Controllers,1134.03,34,13.98,33,
69,B1212:PZ:V,June ,2019-06-27,1000 Inputs,1006 Gamepads and Controllers,1395.66,42,15.05,33,
70,B1212:PZ:V,June ,2019-06-28,1000 Inputs,1006 Gamepads and Controllers,1394,42,14.16,33,
71,B1212:PZ:V,June ,2019-06-29,1000 Inputs,1006 Gamepads and Controllers,1294.41,39,12.83,33,
72,B1212:PZ:V,June ,2019-06-30,1000 Inputs,1006 Gamepads and Controllers,1270.46,38,10.17,33,
73,B1212:PZ:V,July ,2019-07-01,1000 Inputs,1006 Gamepads and Controllers,1197,36,13.43,33,
74,B1212:PZ:V,July ,2019-07-02,1000 Inputs,1006 Gamepads and Controllers,1197.8,36,12.57,33,
75,B1212:PZ:V,July ,2019-07-03,1000 Inputs,1006 Gamepads and Controllers,1131.08,34,14.82,33,
76,B1212:PZ:V,July ,2019-07-04,1000 Inputs,1006 Gamepads and Controllers,1233.95,37,15.25,33,
77,B1212:PZ:V,July ,2019-07-05,1000 Inputs,1006 Gamepads and Controllers,1393.07,41,17.43,34,
78,B1212:PZ:V,July ,2019-07-06,1000 Inputs,1006 Gamepads and Controllers,1324.83,39,15.75,34,
79,B1212:PZ:V,July ,2019-07-07,1000 Inputs,1006 Gamepads and Controllers,1426.94,42,14.48,34,
80,B1212:PZ:V,July ,2019-07-08,1000 Inputs,1006 Gamepads and Controllers,1391.95,41,23.01,34,
81,B1212:PZ:V,July ,2019-07-09,1000 Inputs,1006 Gamepads and Controllers,1445.52,44,13.95,33,
82,B1212:PZ:V,July ,2019-07-10,1000 Inputs,1006 Gamepads and Controllers,991.69,31,19.69,32,
83,B1212:PZ:V,July ,2019-07-11,1000 Inputs,1006 Gamepads and Controllers,1471.54,46,17.34,32,
84,B1212:PZ:V,July ,2019-07-12,1000 Inputs,1006 Gamepads and Controllers,1503.53,47,26.29,32,
85,B1212:PZ:V,July ,2019-07-13,1000 Inputs,1006 Gamepads and Controllers,1343.58,42,12.31,32,
86,B1212:PZ:V,July ,2019-07-14,1000 Inputs,1006 Gamepads and Controllers,1087.66,34,16.49,32,
87,B1212:PZ:V,July ,2019-07-15,1000 Inputs,1006 Gamepads and Controllers,1789.8,60,3.23,30,
88,B1212:PZ:V,July ,2019-07-16,1000 Inputs,1006 Gamepads and Controllers,2219.25,75,13.38,30,
89,B1212:PZ:V,July ,2019-07-17,1000 Inputs,1006 Gamepads and Controllers,1272.37,43,13.61,30,
90,B1212:PZ:V,July ,2019-07-18,1000 Inputs,1006 Gamepads and Controllers,1094.83,37,13.93,30,
91,B1212:PZ:V,July ,2019-07-19,1000 Inputs,1006 Gamepads and Controllers,1479.5,50,10.7,30,
92,B1212:PZ:V,July ,2019-07-20,1000 Inputs,1006 Gamepads and Controllers,2041.71,69,10.85,30,
93,B1212:PZ:V,July ,2019-07-21,1000 Inputs,1006 Gamepads and Controllers,1479.5,50,12.57,30,
94,B1212:PZ:V,July ,2019-07-22,1000 Inputs,1006 Gamepads and Controllers,1923.35,65,13.46,30,
95,B1212:PZ:V,July ,2019-07-23,1000 Inputs,1006 Gamepads and Controllers,1923.35,65,15.9,30,
96,B1212:PZ:V,July ,2019-07-24,1000 Inputs,1006 Gamepads and Controllers,1331.55,45,14.04,30,
97,B1212:PZ:V,July ,2019-07-25,1000 Inputs,1006 Gamepads and Controllers,2160.07,73,17.21,30,
98,B1212:PZ:V,July ,2019-07-26,1000 Inputs,1006 Gamepads and Controllers,1597.86,54,15.29,30,
99,B1212:PZ:V,July ,2019-07-27,1000 Inputs,1006 Gamepads and Controllers,1183.6,40,20.06,30,
100,B1212:PZ:V,July ,2019-07-28,1000 Inputs,1006 Gamepads and Controllers,1834.58,62,13.96,30,
101,B1212:PZ:V,July ,2019-07-29,1000 Inputs,1006 Gamepads and Controllers,1627.45,55,13.14,30,
102,B1212:PZ:V,July ,2019-07-30,1000 Inputs,1006 Gamepads and Controllers,1331.55,45,14.55,30,
103,B1212:PZ:V,July ,2019-07-31,1000 Inputs,1006 Gamepads and Controllers,1568.27,53,12.44,30,
104,B1212:PZ:V,August ,2019-08-01,1000 Inputs,1006 Gamepads and Controllers,1627.45,55,18.93,30,
105,B1212:PZ:V,August ,2019-08-02,1000 Inputs,1006 Gamepads and Controllers,2396.79,81,14.95,30,
106,B1212:PZ:V,August ,2019-08-03,1000 Inputs,1006 Gamepads and Controllers,1390.73,47,13.3,30,
107,B1212:PZ:V,August ,2019-08-04,1000 Inputs,1006 Gamepads and Controllers,1568.27,53,11.04,30,
108,B1212:PZ:V,August ,2019-08-05,1000 Inputs,1006 Gamepads and Controllers,1331.55,45,14.13,30,
109,B1212:PZ:V,August ,2019-08-06,1000 Inputs,1006 Gamepads and Controllers,2959,100,15.41,30,
110,B1212:PZ:V,August ,2019-08-07,1000 Inputs,1006 Gamepads and Controllers,1622.68,52,16.07,31,
111,B1212:PZ:V,August ,2019-08-08,1000 Inputs,1006 Gamepads and Controllers,1663.48,52,15.79,32,
112,B1212:PZ:V,August ,2019-08-09,1000 Inputs,1006 Gamepads and Controllers,1407.56,44,16.04,32,
113,B1212:PZ:V,August ,2019-08-10,1000 Inputs,1006 Gamepads and Controllers,1247.61,39,18.47,32,
114,B1212:PZ:V,August ,2019-08-11,1000 Inputs,1006 Gamepads and Controllers,1215.62,38,14.79,32,
115,B1212:PZ:V,August ,2019-08-12,1000 Inputs,1006 Gamepads and Controllers,1343.58,42,14.68,32,
116,B1212:PZ:V,August ,2019-08-13,1000 Inputs,1006 Gamepads and Controllers,1983.38,62,12.95,32,
117,B1212:PZ:V,August ,2019-08-14,1000 Inputs,1006 Gamepads and Controllers,991.69,31,12.31,32,
118,B1212:PZ:V,August ,2019-08-15,1000 Inputs,1006 Gamepads and Controllers,1599.5,50,12.85,32,
119,B1212:PZ:V,August ,2019-08-16,1000 Inputs,1006 Gamepads and Controllers,1471.54,46,13.47,32,
120,B1212:PZ:V,August ,2019-08-17,1000 Inputs,1006 Gamepads and Controllers,2079.35,65,10.55,32,
121,B1212:PZ:V,August ,2019-08-18,1000 Inputs,1006 Gamepads and Controllers,1919.4,60,12.53,32,
122,B1212:PZ:V,August ,2019-08-19,1000 Inputs,1006 Gamepads and Controllers,1951.39,61,12.54,32,
123,B1212:PZ:V,August ,2019-08-20,1000 Inputs,1006 Gamepads and Controllers,3199,100,14.83,32,
124,B1212:PZ:V,August ,2019-08-21,1000 Inputs,1006 Gamepads and Controllers,1535.52,48,12.39,32,
125,B1212:PZ:V,August ,2019-08-22,1000 Inputs,1006 Gamepads and Controllers,1791.44,56,15.47,32,
126,B1212:PZ:V,August ,2019-08-23,1000 Inputs,1006 Gamepads and Controllers,1433.95,54,11.91,27,
127,B1212:PZ:V,August ,2019-08-24,1000 Inputs,1006 Gamepads and Controllers,1976,76,13.32,26,
128,B1212:PZ:V,August ,2019-08-25,1000 Inputs,1006 Gamepads and Controllers,2496,96,10.15,26,
129,B1212:PZ:V,August ,2019-08-26,1000 Inputs,1006 Gamepads and Controllers,2340,90,12.31,26,
130,B1212:PZ:V,August ,2019-08-27,1000 Inputs,1006 Gamepads and Controllers,1586,61,15.13,26,
131,B1212:PZ:V,August ,2019-08-28,1000 Inputs,1006 Gamepads and Controllers,1794,69,15.7,26,
132,B1212:PZ:V,August ,2019-08-29,1000 Inputs,1006 Gamepads and Controllers,2288,88,16.86,26,
133,B1212:PZ:V,August ,2019-08-30,1000 Inputs,1006 Gamepads and Controllers,1924,74,24.24,26,
134,B1212:PZ:V,August ,2019-08-31,1000 Inputs,1006 Gamepads and Controllers,1872,72,16.34,26,
135,D1000D20S:,June ,2019-06-29,1000 Inputs,1003 Computer Speakers,0,0,0,0,
136,B111S;CCLC,May ,2019-05-01,1000 Inputs,1003 Computer Speakers,4305.69,431,3.02,10,
137,B111S;CCLC,May ,2019-05-02,1000 Inputs,1003 Computer Speakers,4245.75,425,2.86,10,
138,B111S;CCLC,May ,2019-05-03,1000 Inputs,1003 Computer Speakers,3526.47,353,3.61,10,
139,B111S;CCLC,May ,2019-05-04,1000 Inputs,1003 Computer Speakers,1828.17,183,3.71,10,
140,B111S;CCLC,May ,2019-05-05,1000 Inputs,1003 Computer Speakers,2077.92,208,3.03,10,
141,B111S;CCLC,May ,2019-05-06,1000 Inputs,1003 Computer Speakers,4605.39,461,2.12,10,
142,B111S;CCLC,May ,2019-05-07,1000 Inputs,1003 Computer Speakers,5204.79,521,2.96,10,
143,B111S;CCLC,May ,2019-05-08,1000 Inputs,1003 Computer Speakers,4915.08,492,2.65,10,
144,B111S;CCLC,May ,2019-05-09,1000 Inputs,1003 Computer Speakers,5134.86,514,2.58,10,
145,B111S;CCLC,May ,2019-05-10,1000 Inputs,1003 Computer Speakers,4315.68,432,3.76,10,
146,B111S;CCLC,May ,2019-05-11,1000 Inputs,1003 Computer Speakers,2167.83,217,2.76,10,
147,B111S;CCLC,May ,2019-05-12,1000 Inputs,1003 Computer Speakers,2027.97,203,3.18,10,
148,B111S;CCLC,May ,2019-05-13,1000 Inputs,1003 Computer Speakers,5214.78,522,2.28,10,
149,B111S;CCLC,May ,2019-05-14,1000 Inputs,1003 Computer Speakers,5124.87,513,2.25,10,
150,B111S;CCLC,May ,2019-05-15,1000 Inputs,1003 Computer Speakers,5494.5,550,3.3,10,
151,B111S;CCLC,May ,2019-05-16,1000 Inputs,1003 Computer Speakers,5354.64,536,3.05,10,
152,B111S;CCLC,May ,2019-05-17,1000 Inputs,1003 Computer Speakers,4605.39,461,2.92,10,
153,B111S;CCLC,May ,2019-05-18,1000 Inputs,1003 Computer Speakers,2167.83,217,3.65,10,
154,B111S;CCLC,May ,2019-05-19,1000 Inputs,1003 Computer Speakers,2537.46,254,4.33,10,
155,B111S;CCLC,May ,2019-05-20,1000 Inputs,1003 Computer Speakers,4781.7,530,3.19,9,
156,B111S;CCLC,May ,2019-05-21,1000 Inputs,1003 Computer Speakers,5347.05,595,2.81,9,
157,B111S;CCLC,May ,2019-05-22,1000 Inputs,1003 Computer Speakers,5104.32,568,3.9,9,
158,B111S;CCLC,May ,2019-05-23,1000 Inputs,1003 Computer Speakers,4566.92,508,3.86,9,
159,B111S;CCLC,May ,2019-05-24,1000 Inputs,1003 Computer Speakers,3710.87,413,3.76,9,
160,B111S;CCLC,May ,2019-05-25,1000 Inputs,1003 Computer Speakers,2101.66,234,4.37,9,
161,B111S;CCLC,May ,2019-05-26,1000 Inputs,1003 Computer Speakers,1708.1,190,5.05,9,
162,B111S;CCLC,May ,2019-05-27,1000 Inputs,1003 Computer Speakers,2499.22,278,3.92,9,
163,B111S;CCLC,May ,2019-05-28,1000 Inputs,1003 Computer Speakers,4530.96,504,3.54,9,
164,B111S;CCLC,May ,2019-05-29,1000 Inputs,1003 Computer Speakers,4944.5,550,2.49,9,
165,B111S;CCLC,May ,2019-05-30,1000 Inputs,1003 Computer Speakers,5404.84,516,3.2,10,
166,B111S;CCLC,May ,2019-05-31,1000 Inputs,1003 Computer Speakers,3804.54,346,3.4,11,
167,B111S;CCLC,June ,2019-06-01,1000 Inputs,1003 Computer Speakers,2285.92,208,3.03,11,
168,B111S;CCLC,June ,2019-06-02,1000 Inputs,1003 Computer Speakers,2066.12,188,3.51,11,
169,B111S;CCLC,June ,2019-06-03,1000 Inputs,1003 Computer Speakers,3307.99,301,4.02,11,
170,B111S;CCLC,June ,2019-06-04,1000 Inputs,1003 Computer Speakers,5198.27,473,2.91,11,
171,B111S;CCLC,June ,2019-06-05,1000 Inputs,1003 Computer Speakers,4654.77,423,3.17,11,
172,B111S;CCLC,June ,2019-06-06,1000 Inputs,1003 Computer Speakers,5352.13,487,2.48,11,
173,B111S;CCLC,June ,2019-06-07,1000 Inputs,1003 Computer Speakers,4330.06,394,2.37,11,
174,B111S;CCLC,June ,2019-06-08,1000 Inputs,1003 Computer Speakers,2329.88,212,4.23,11,
175,B111S;CCLC,June ,2019-06-09,1000 Inputs,1003 Computer Speakers,1780.38,162,2.86,11,
176,B111S;CCLC,June ,2019-06-10,1000 Inputs,1003 Computer Speakers,5385.1,490,2.23,11,
177,B111S;CCLC,June ,2019-06-11,1000 Inputs,1003 Computer Speakers,5121.34,466,3.05,11,
178,B111S;CCLC,June ,2019-06-12,1000 Inputs,1003 Computer Speakers,4637.78,422,2.14,11,
179,B111S;CCLC,June ,2019-06-13,1000 Inputs,1003 Computer Speakers,5156.21,479,2.61,11,
180,B111S;CCLC,June ,2019-06-14,1000 Inputs,1003 Computer Speakers,5073.92,508,3.28,10,
181,B111S;CCLC,June ,2019-06-15,1000 Inputs,1003 Computer Speakers,2216.78,222,2.69,10,
182,B111S;CCLC,June ,2019-06-16,1000 Inputs,1003 Computer Speakers,2182.81,219,3.26,10,
183,B111S;CCLC,June ,2019-06-17,1000 Inputs,1003 Computer Speakers,4844.15,485,2.3,10,
184,B111S;CCLC,June ,2019-06-18,1000 Inputs,1003 Computer Speakers,5160.83,517,2.78,10,
185,B111S;CCLC,June ,2019-06-19,1000 Inputs,1003 Computer Speakers,6050.94,606,3.05,10,
186,B111S;CCLC,June ,2019-06-20,1000 Inputs,1003 Computer Speakers,5284.71,529,2.97,10,
187,B111S;CCLC,June ,2019-06-21,1000 Inputs,1003 Computer Speakers,4695.3,470,2.94,10,
188,B111S;CCLC,June ,2019-06-22,1000 Inputs,1003 Computer Speakers,1968.03,197,3.67,10,
189,B111S;CCLC,June ,2019-06-23,1000 Inputs,1003 Computer Speakers,2627.37,263,2.8,10,
190,B111S;CCLC,June ,2019-06-24,1000 Inputs,1003 Computer Speakers,4518.79,421,3.26,11,
191,B111S;CCLC,June ,2019-06-25,1000 Inputs,1003 Computer Speakers,4217.17,383,2.45,11,
192,B111S;CCLC,June ,2019-06-26,1000 Inputs,1003 Computer Speakers,4519.89,411,3.09,11,
193,B111S;CCLC,June ,2019-06-27,1000 Inputs,1003 Computer Speakers,3769.57,343,4.22,11,
194,B111S;CCLC,June ,2019-06-28,1000 Inputs,1003 Computer Speakers,4044.32,368,3.06,11,
195,B111S;CCLC,June ,2019-06-29,1000 Inputs,1003 Computer Speakers,1835.33,167,3.11,11,
196,B111S;CCLC,June ,2019-06-30,1000 Inputs,1003 Computer Speakers,2033.15,185,3.21,11,
197,B111S;CCLC,July ,2019-07-01,1000 Inputs,1003 Computer Speakers,4275.11,389,2.84,11,
198,B111S;CCLC,July ,2019-07-02,1000 Inputs,1003 Computer Speakers,4363.03,397,2.42,11,
199,B111S;CCLC,July ,2019-07-03,1000 Inputs,1003 Computer Speakers,3890.46,354,2.49,11,
200,B111S;CCLC,July ,2019-07-04,1000 Inputs,1003 Computer Speakers,1549.59,141,4.55,11,
201,B111S;CCLC,July ,2019-07-05,1000 Inputs,1003 Computer Speakers,2989.28,272,3.82,11,
202,B111S;CCLC,July ,2019-07-06,1000 Inputs,1003 Computer Speakers,1714.44,156,2.62,11,
203,B111S;CCLC,July ,2019-07-07,1000 Inputs,1003 Computer Speakers,1560.58,142,4.2,11,
204,B111S;CCLC,July ,2019-07-08,1000 Inputs,1003 Computer Speakers,3604.72,328,3.6,11,
205,B111S;CCLC,July ,2019-07-09,1000 Inputs,1003 Computer Speakers,4461.94,406,3.34,11,
206,B111S;CCLC,July ,2019-07-10,1000 Inputs,1003 Computer Speakers,3879.47,353,3.67,11,
207,B111S;CCLC,July ,2019-07-11,1000 Inputs,1003 Computer Speakers,4099.27,373,4.12,11,
208,B111S;CCLC,July ,2019-07-12,1000 Inputs,1003 Computer Speakers,3912.44,356,3.5,11,
209,B111S;CCLC,July ,2019-07-13,1000 Inputs,1003 Computer Speakers,1945.23,177,4.04,11,
210,B111S;CCLC,July ,2019-07-14,1000 Inputs,1003 Computer Speakers,2176.02,198,4.91,11,
211,B111S;CCLC,July ,2019-07-15,1000 Inputs,1003 Computer Speakers,8187.55,745,2.37,11,
212,B111S;CCLC,July ,2019-07-16,1000 Inputs,1003 Computer Speakers,7846.86,714,2.8,11,
213,B111S;CCLC,July ,2019-07-17,1000 Inputs,1003 Computer Speakers,3582.74,326,3.06,11,
214,B111S;CCLC,July ,2019-07-18,1000 Inputs,1003 Computer Speakers,3659.67,333,4.56,11,
215,B111S;CCLC,July ,2019-07-19,1000 Inputs,1003 Computer Speakers,3395.91,309,4.35,11,
216,B111S;CCLC,July ,2019-07-20,1000 Inputs,1003 Computer Speakers,1494.64,136,3.73,11,
217,B111S;CCLC,July ,2019-07-21,1000 Inputs,1003 Computer Speakers,1573.35,165,3.05,10,
218,B111S;CCLC,July ,2019-07-22,1000 Inputs,1003 Computer Speakers,4057.22,428,3.72,9,
219,B111S;CCLC,July ,2019-07-23,1000 Inputs,1003 Computer Speakers,4190.08,442,3.13,9,
220,B111S;CCLC,July ,2019-07-24,1000 Inputs,1003 Computer Speakers,3312.01,349,5.38,9,
221,B111S;CCLC,July ,2019-07-25,1000 Inputs,1003 Computer Speakers,4023.76,424,3.78,9,
222,B111S;CCLC,July ,2019-07-26,1000 Inputs,1003 Computer Speakers,3323.5,350,2.25,9,
223,B111S;CCLC,July ,2019-07-27,1000 Inputs,1003 Computer Speakers,1825.08,192,2.67,10,
224,B111S;CCLC,July ,2019-07-28,1000 Inputs,1003 Computer Speakers,1169.33,117,2.99,10,
225,B111S;CCLC,July ,2019-07-29,1000 Inputs,1003 Computer Speakers,3418.08,342,3.56,10,
226,B111S;CCLC,July ,2019-07-30,1000 Inputs,1003 Computer Speakers,4515.48,452,3.88,10,
227,B111S;CCLC,July ,2019-07-31,1000 Inputs,1003 Computer Speakers,3845.02,368,3.72,10,
228,B111S;CCLC,August ,2019-08-01,1000 Inputs,1003 Computer Speakers,3259.59,309,2.9,11,
229,B111S;CCLC,August ,2019-08-02,1000 Inputs,1003 Computer Speakers,3383.89,321,2.83,11,
230,B111S;CCLC,August ,2019-08-03,1000 Inputs,1003 Computer Speakers,1233.18,117,2.37,11,
231,B111S;CCLC,August ,2019-08-04,1000 Inputs,1003 Computer Speakers,1960.07,203,3.1,10,
232,B111S;CCLC,August ,2019-08-05,1000 Inputs,1003 Computer Speakers,3823.48,404,2.98,9,
233,B111S;CCLC,August ,2019-08-06,1000 Inputs,1003 Computer Speakers,4213.06,444,5.26,9,
234,B111S;CCLC,August ,2019-08-07,1000 Inputs,1003 Computer Speakers,4127.1,435,3.81,9,
235,B111S;CCLC,August ,2019-08-08,1000 Inputs,1003 Computer Speakers,3520.79,371,4.75,9,
236,B111S;CCLC,August ,2019-08-09,1000 Inputs,1003 Computer Speakers,3482.83,367,2.4,9,
237,B111S;CCLC,August ,2019-08-10,1000 Inputs,1003 Computer Speakers,1518.4,160,3.89,9,
238,B111S;CCLC,August ,2019-08-11,1000 Inputs,1003 Computer Speakers,1575.34,166,5.23,9,
239,B111S;CCLC,August ,2019-08-12,1000 Inputs,1003 Computer Speakers,4052.23,427,3.27,9,
240,B111S;CCLC,August ,2019-08-13,1000 Inputs,1003 Computer Speakers,3368.95,355,1.28,9,
241,B111S;CCLC,August ,2019-08-14,1000 Inputs,1003 Computer Speakers,3767.53,397,2.57,9,
242,B111S;CCLC,August ,2019-08-15,1000 Inputs,1003 Computer Speakers,3425.89,361,3.78,9,
243,B111S;CCLC,August ,2019-08-16,1000 Inputs,1003 Computer Speakers,2932.41,309,1.8,9,
244,B111S;CCLC,August ,2019-08-17,1000 Inputs,1003 Computer Speakers,1565.85,165,2.85,9,
245,B111S;CCLC,August ,2019-08-18,1000 Inputs,1003 Computer Speakers,1359.64,136,1.94,10,
246,B111S;CCLC,August ,2019-08-19,1000 Inputs,1003 Computer Speakers,3876.62,388,3.02,10,
247,B111S;CCLC,August ,2019-08-20,1000 Inputs,1003 Computer Speakers,4045.95,405,3.03,10,
248,B111S;CCLC,August ,2019-08-21,1000 Inputs,1003 Computer Speakers,4346.15,435,3.87,10,
